IDENTIFIANT,DATE_HEURE_OUVERTURE,CODE_EVENEMENT,DATE_SINISTRE,COMMUNE_SINISTRE,CODE_POSTAL_SINISTRE,DEPARTEMENT_SINISTRE,PAYS_SINISTRE,DISTANCE_DOMICILE_SINSITRE,AGE,MARQUE,CODE_POSTAL_ASSURE,DEPARTEMENT_ASSURE,PAYS_ASSURE,VEH_MARQUE,VEH_MODELE,VEH_DATE_MISE_CIRCULATION,VEH_CODE_CARBURANT,VEH_GENRE,VEH_TYPE_BOITE,VEJH_TYPE_TRANSMMISSION,VEH_KILOMETRAGE,VEH_HAUTEUR,VEH_LONGUEUR,VEH_LARGEUR,VEH_EMPATTEMENT,VEH_CATEGORIE,VEH_POID_A_VIDE,VEH_CATEGORIE_PTAC,DATE_HEURE_PRISE_EN_CHARGE,NATURE_PANNE,CATEGORIE_PANNE,DATE_HEURE_SINISTRE,TEMPERATURE,HUMIDITE,VITESSE_VENT,PRECIPITATIONS,PRESSION,ETAT_SOL,HAUTEUR_COUCHE_NEIGE
7xzqLHGCVhvR,2023-03-03 17:52:00,PA,2023-03-03,CONFLANS-SAINTE-HONORINE,78700.0,78.0,33,8,33.0,MAAF,95310.0,95.0,33.0,PEU,206,10/07/2003,E,VL,AUT,AV,186179.0,1.37,3.84,1.67,2.44,1.0,1177.0,1,2023-03-03 18:24:00,233,FREIN,2023-03-03 18:09:00,6.900000000000034,65.0,4.4,0.0,101340.0,0.0,0.0
65jld6UlxC6Y,2023-12-31 20:13:00,PA,2023-12-31,CLAMART,92140.0,92.0,33,1,,GMF,92140.0,92.0,33.0,REN,TWINGO III,25/09/2018,E,VL,MAN,AR,14000.0,1.56,3.6,1.65,2.49,1.0,944.0,1,2023-12-31 20:45:00,111,DEM,2023-12-31 20:30:00,8.700000000000045,72.0,7.1,0.0,99310.0,1.0,0.0
MvwXXDGHMlLn,2021-11-29 12:34:00,PA,2021-11-29,BRAY-DUNES,59123.0,59.0,33,2,43.0,MAAF,59123.0,59.0,33.0,BMW,120,24/06/2009,D,VL,MAN,AV,,,,,,1.0,,1,2021-11-29 13:10:00,131,REFR,2021-11-29 12:55:00,3.8000000000000114,82.0,6.2,0.8,100580.0,2.0,0.0
fvHUha2gaK9S,2022-05-17 18:10:00,PA,2022-05-17,WIMEREUX,62930.0,62.0,33,88,49.0,MAAF,62232.0,62.0,33.0,FOR,FOCUS C-MAX,26/03/2014,D,VL,,,,1.6,4.38,1.83,2.65,1.0,1315.0,2,2022-05-17 19:03:00,126,ALUM,2022-05-17 18:48:00,27.30000000000001,38.0,3.6,0.0,100930.0,0.0,0.0
51xvXbZMWfWr,2021-07-20 18:58:00,PA,2021-07-20,EQUIHEN-PLAGE,62224.0,62.0,33,475,,GMF,54500.0,54.0,33.0,CIT,C3 PICASSO,28/03/2012,D,VL,MAN,AV,111409.0,,,,,1.0,,1,2021-07-21 08:57:00,244,BOIT,2021-07-20 18:43:00,27.40000000000004,52.0,3.6,0.0,101150.0,0.0,0.0
bS3ZWmyKODdO,2022-06-03 13:49:00,PA,2022-06-03,AJACCIO,20090.0,20.0,33,4,,GMF,20000,20.0,33.0,FOR,KUGA,31/05/2016,D,UT,,4R,120000.0,1.68,4.52,1.84,2.69,,1641.0,2,2022-06-03 15:21:00,111,DEM,2022-06-03 15:06:00,27.5,63.0,1.8,0.0,101300.0,,0.0
356kGMq8rUhk,2022-12-02 16:15:00,PA,2022-12-02,BREST,29200.0,29.0,33,1,39.0,MAAF,29200.0,29.0,33.0,PEU,5008,27/03/2018,E,VL,AUT,AV,66649.0,1.64,4.64,1.84,2.84,1.0,1317.0,2,2022-12-05 14:51:00,167,MOT,2022-12-02 16:00:00,8.0,69.0,3.4,0.0,101060.0,0.0,0.0
hzXwozg65mnW,2021-11-10 20:28:00,PA,2021-11-10,BESANCON,25000.0,25.0,33,6,,MMA,25480,25.0,33.0,PEU,3008,17/02/2014,,VL,MAN,AV,98026.0,,,,,,,1,2021-11-10 21:20:00,111,DEM,2021-11-10 21:05:00,4.300000000000011,97.0,0.7,0.0,99730.0,0.0,0.0
4OOo4p7tH8qo,2022-11-05 11:33:00,PA,2022-11-05,MOURMELON-LE-GRAND,51400.0,51.0,33,545,,GMF,44000.0,44.0,33.0,REN,CLIO IV,15/12/2014,D,VL,MAN,AV,,1.45,4.06,1.73,2.59,1.0,1071.0,1,2022-11-05 14:13:00,111,DEM,2022-11-05 13:58:00,11.0,79.0,3.5,0.0,100900.0,0.0,0.0
6ByggqwJfVJ8,2023-06-26 14:57:00,PA,2023-06-26,GUILVINEC,29730.0,29.0,33,1,86.0,MAAF,29730.0,29.0,33.0,REN,CLIO,23/04/1999,E,VL,MAN,AV,,,,,,1.0,940.0,1,2023-06-26 15:37:00,111,DEM,2023-06-26 15:22:00,20.100000000000023,60.0,4.0,0.0,101370.0,0.0,0.0
o3oAm9bOcizE,2022-02-11 10:48:00,PA,2022-02-11,DRAGUIGNAN,83300.0,83.0,33,2,,GMF,83300.0,83.0,33.0,REN,SCENIC II,01/06/2006,D,VL,MAN,AV,,1.62,4.26,1.81,2.69,,1365.0,2,2022-02-11 11:14:00,514,HOMO,2022-02-11 10:59:00,10.300000000000011,59.0,4.7,0.0,102010.0,,0.0
khj5lCBhfWpn,2023-05-09 19:51:00,PA,2023-05-09,PIERREFEU-DU-VAR,83390.0,83.0,33,1,,GMF,83390.0,83.0,33.0,LAR,DEFENDER,30/03/1994,D,UT,MAN,4R,,,,,,,1838.0,2,2023-05-10 09:51:00,212,SUSP,2023-05-09 19:36:00,16.900000000000034,88.0,3.4,0.6,101140.0,,0.0
2DVLGaWFOn8W,2023-11-13 09:27:00,PA,2023-11-13,ST-GERMAIN-LES-CORBEIL,91250.0,91.0,33,0,,GMF,91250.0,91.0,33.0,TOY,COROLLA VERSO,17/03/2006,D,UT,MAN,AV,329093.0,1.62,4.36,1.77,2.75,,1475.0,2,2023-11-13 10:13:00,111,DEM,2023-11-13 09:58:00,14.600000000000025,93.0,6.9,0.2,99640.0,2.0,0.0
2y04J0o7785D,2021-10-26 13:39:00,PA,2021-10-26,LAVAL,53000.0,53.0,33,1,60.0,MAAF,53000.0,53.0,33.0,REN,CLIO,05/12/2000,E,VL,MAN,AV,,,,,,,,1,2021-10-26 14:30:00,124,ALUM,2021-10-26 14:15:00,16.100000000000023,74.0,4.0,0.0,100690.0,0.0,0.0
hsoLiVkgwIqD,2022-10-24 12:48:00,CL,2022-10-24,LAVAL,53000.0,53.0,33,84,,MMA,49130.0,49.0,33.0,PEU,Partner,16/11/2010,D,UT,MAN,AV,367943.0,1.8,4.38,1.81,2.73,1.0,1526.0,2,2022-10-24 13:55:00,512,HOMO,2022-10-24 13:40:00,14.800000000000011,93.0,7.1,1.0,99280.0,2.0,0.0
CweP746NnJvV,2022-08-05 15:46:00,PA,2022-08-05,CHAUFFAILLES,71170.0,71.0,33,1,63.0,MAAF,71170,71.0,33.0,VWG,GOLF IV,15/09/1998,E,VL,,,180000.0,,,,,1.0,1151.0,1,2022-08-23 10:30:00,112,DEM,2022-08-05 15:31:00,31.5,42.0,7.0,0.0,98700.0,0.0,0.0
t5iPAcObBMfz,2023-04-11 08:55:00,PA,2023-04-11,CESSON,77240.0,77.0,33,1,72.0,MAAF,77240.0,77.0,33.0,CIT,C4 PICASSO II,05/06/2018,E,VL,,,28495.0,1.64,4.6,1.83,2.84,,1295.0,2,2023-04-11 09:20:00,111,DEM,2023-04-11 09:05:00,10.800000000000011,77.0,5.2,0.0,100850.0,1.0,0.0
EUssPyuTgoK0,2022-10-24 21:19:00,PA,2022-10-24,NANTERRE,92000.0,92.0,33,4,66.0,MAAF,92700,92.0,33.0,VWG,TOURAN,20/01/2009,D,UT,MAN,AV,125148.0,1.62,4.41,1.79,2.68,,1498.0,2,2022-10-24 21:44:00,111,DEM,2022-10-24 21:29:00,16.400000000000034,78.0,7.6,0.0,100050.0,0.0,0.0
MBYHPOAO7Flh,2022-05-30 14:28:00,PA,2022-05-30,NARBONNE,11100.0,11.0,33,1,,MMA,11110,11.0,33.0,REN,MEGANE III,10/12/2013,D,VL,MAN,AV,139567.0,1.47,4.3,1.81,2.64,1.0,1215.0,1,2022-05-30 15:29:00,244,BOIT,2022-05-30 15:14:00,25.30000000000001,33.0,3.4,0.0,100360.0,,0.0
Zbf7ebVSG37U,2022-03-16 09:14:00,PA,2022-03-16,NOIREMONT,60480.0,60.0,33,49,,MMA,60100,60.0,33.0,TOY,PRIUS,01/10/2011,A,VL,AUT,AV,,,,,,1.0,,1,2022-03-16 10:18:00,221,PNEU,2022-03-16 10:03:00,8.700000000000045,89.0,4.5,0.0,101110.0,0.0,0.0
1aJfYLx46RSQ,2023-01-23 18:08:00,PA,2023-01-23,LA RAVOIRE,73490.0,73.0,33,1,,GMF,73490.0,73.0,33.0,NIS,JUKE,06/03/2017,D,VL,MAN,AV,,1.57,4.14,1.77,2.53,,1272.0,1,2023-01-30 17:02:00,126,ALUM,2023-01-23 17:53:00,2.1000000000000227,69.0,5.4,0.0,99490.0,0.0,0.0
FMyCSH7uIwJf,2022-07-08 11:59:00,PA,2022-07-01,VAILLY-SUR-AISNE,2370.0,2.0,33,104,29.0,MAAF,59400.0,59.0,33.0,BMW,523,09/08/2006,E,VL,MAN,AR,,1.47,4.84,1.85,2.89,1.0,1545.0,2,2022-07-08 16:41:00,213,SUSP,2022-07-01 14:00:00,19.40000000000004,53.0,4.8,0.0,100890.0,0.0,0.0
vJCtdJKYEcBS,2024-01-27 10:22:00,PA,2024-01-27,ST-GERMAIN-DU-PUY,18390.0,18.0,33,8,,GMF,18220.0,18.0,33.0,FIA,TIPO,30/11/2017,E,VL,MAN,AV,51164.0,1.5,4.53,1.79,2.64,1.0,1150.0,1,2024-01-27 11:08:00,222,PNEU,2024-01-27 10:53:00,3.5,86.0,3.0,0.0,101520.0,,0.0
v76NXjIAWpFP,2022-10-15 22:04:00,PA,2022-10-15,NANCY,54000.0,54.0,33,5,,GMF,54270.0,54.0,33.0,TOY,AYGO,03/09/2018,E,VL,,,,1.46,3.47,1.62,2.34,,840.0,1,2022-10-15 22:59:00,222,PNEU,2022-10-15 22:44:00,14.600000000000025,98.0,1.1,0.0,97330.0,,0.0
rKmB2ifxdaFk,2024-02-03 16:32:00,PA,2024-02-03,ST-GERMAIN-LAPRADE,43700.0,43.0,33,1,92.0,MAAF,43700.0,43.0,33.0,VWG,GOLF V,10/06/2004,D,VL,SEQ,AV,,1.47,4.2,1.76,2.58,1.0,1351.0,2,2024-02-05 09:17:00,131,REFR,2024-02-03 16:17:00,-2.5,89.0,1.1,0.0,93520.0,0.0,0.0
R54QFi2beHrH,2023-12-12 13:17:00,PA,2023-12-12,BAIN-DE-BRETAGNE,35470.0,35.0,33,10,,GMF,35470.0,35.0,33.0,VWG,TRANSPORTER,19/03/2003,D,VL,MAN,AV,,,,,,,1735.0,2,2023-12-12 13:51:00,112,DEM,2023-12-12 13:36:00,12.5,89.0,4.6,0.0,100100.0,2.0,0.0
1jSV5GHnM69H,2023-08-23 11:01:00,PA,2023-08-23,LAGNIEU,1150.0,1.0,33,1,,MMA,1150.0,1.0,33.0,VWG,TIGUAN,01/03/2013,D,VL,MAN,AV,,1.65,4.43,1.81,2.61,,1468.0,2,2023-08-23 14:16:00,243,BOIT,2023-08-23 14:01:00,34.400000000000034,39.0,3.9,0.0,98940.0,0.0,0.0
UAmRRoSMofqY,2024-01-09 10:29:00,PA,2024-01-09,RONCQ,59223.0,59.0,33,6,75.0,MAAF,59200,59.0,33.0,REN,SCENIC III,13/11/2009,D,VL,MAN,AV,,1.68,4.34,1.85,2.7,,1385.0,2,2024-01-09 11:17:00,111,DEM,2024-01-09 11:02:00,-4.2999999999999545,68.0,7.1,0.0,102440.0,,0.0
t1EbpMSDcmfC,2023-02-24 16:36:00,PA,2023-02-24,MARTIGUES,13500.0,13.0,33,1,,MMA,13500,13.0,33.0,PEU,407,01/04/2006,E,UT,AUT,AV,,,,,,1.0,,2,2023-02-27 08:50:00,111,DEM,2023-02-24 16:21:00,17.0,61.0,6.5,0.0,100550.0,0.0,0.0
DvMkq01NpUdf,2021-10-26 11:31:00,PA,2021-10-26,TRESCLEOUX,5700.0,5.0,33,186,,GMF,13118.0,13.0,33.0,SKO,OCTAVIA,05/03/2009,D,VL,MAN,AV,,,,,,1.0,,2,2021-10-26 14:59:00,162,MOT,2021-10-26 14:44:00,9.0,70.0,1.1,0.0,92070.0,,0.0
vpxiVI8S3ImS,2023-08-24 18:28:00,PA,2023-08-24,JULLOUVILLE,50610.0,50.0,33,4,,GMF,50380,50.0,33.0,PEU,3008,31/12/2019,E,VL,AUT,AV,21000.0,1.62,4.45,1.84,2.68,1.0,1320.0,2,2023-08-24 18:58:00,221,PNEU,2023-08-24 18:43:00,26.5,67.0,3.2,0.0,100600.0,0.0,0.0
18vmaSfdhEYz,2022-05-16 10:18:00,PA,2022-05-16,LA SEYNE-SUR-MER,83500.0,83.0,33,1,,MMA,83500.0,83.0,33.0,FIA,GRANDE PUNTO,25/10/2007,D,VL,MAN,AV,130793.0,1.49,4.03,1.69,2.51,1.0,1105.0,1,2022-05-16 10:44:00,165,MOT,2022-05-16 10:29:00,26.700000000000045,26.0,5.2,0.0,101670.0,,0.0
y0ZGr0l0kACe,2023-07-06 11:12:00,PA,2023-07-06,FREJUS,83600.0,83.0,33,1,,GMF,83600,83.0,33.0,PEU,307,01/05/2005,E,VL,MAN,AV,40000.0,,,,,1.0,,1,2023-07-06 13:59:00,126,ALUM,2023-07-06 13:44:00,26.90000000000004,72.0,4.2,0.0,101200.0,0.0,0.0
